ROI,tile,patch,timestep,S1
ROIs1868,119,26,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_26.tif
ROIs1868,119,27,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_27.tif
ROIs1868,119,28,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_28.tif
ROIs1868,119,29,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_29.tif
ROIs1868,119,30,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_30.tif
ROIs1868,119,31,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_31.tif
ROIs1868,119,32,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_32.tif
ROIs1868,119,33,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_33.tif
ROIs1868,119,34,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_34.tif
ROIs1868,119,35,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_35.tif
ROIs1868,119,36,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_36.tif
ROIs1868,119,37,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_37.tif
ROIs1868,119,38,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_38.tif
ROIs1868,119,39,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_39.tif
ROIs1868,119,40,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_40.tif
ROIs1868,119,41,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_41.tif
ROIs1868,119,42,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_42.tif
ROIs1868,119,43,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_43.tif
ROIs1868,119,44,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_44.tif
ROIs1868,119,45,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_45.tif
ROIs1868,119,46,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_46.tif
ROIs1868,119,47,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_47.tif
ROIs1868,119,48,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_48.tif
ROIs1868,119,49,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_49.tif
ROIs1868,119,50,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_50.tif
ROIs1868,119,51,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_51.tif
ROIs1868,119,52,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_52.tif
ROIs1868,119,53,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_53.tif
ROIs1868,119,54,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_54.tif
ROIs1868,119,55,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_55.tif
ROIs1868,119,56,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_56.tif
ROIs1868,119,57,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_57.tif
ROIs1868,119,58,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_58.tif
ROIs1868,119,59,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_59.tif
ROIs1868,119,61,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_61.tif
ROIs1868,119,62,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_62.tif
ROIs1868,119,63,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_63.tif
ROIs1868,119,64,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_64.tif
ROIs1868,119,65,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_65.tif
ROIs1868,119,66,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_66.tif
ROIs1868,119,67,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_67.tif
ROIs1868,119,68,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_68.tif
ROIs1868,119,69,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_69.tif
ROIs1868,119,70,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_70.tif
ROIs1868,119,71,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_71.tif
ROIs1868,119,72,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_72.tif
ROIs1868,119,73,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_73.tif
ROIs1868,119,74,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_74.tif
ROIs1868,119,75,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_75.tif
ROIs1868,119,76,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_76.tif
ROIs1868,119,77,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_77.tif
ROIs1868,119,78,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_78.tif
ROIs1868,119,79,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_79.tif
ROIs1868,119,82,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_82.tif
ROIs1868,119,83,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_83.tif
ROIs1868,119,84,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_84.tif
ROIs1868,119,85,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_85.tif
ROIs1868,119,86,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_86.tif
ROIs1868,119,87,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_87.tif
ROIs1868,119,88,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_88.tif
ROIs1868,119,89,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_89.tif
ROIs1868,119,90,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_90.tif
ROIs1868,119,91,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_91.tif
ROIs1868,119,92,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_92.tif
ROIs1868,119,93,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_93.tif
ROIs1868,119,94,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_94.tif
ROIs1868,119,95,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_95.tif
ROIs1868,119,96,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_96.tif
ROIs1868,119,97,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_97.tif
ROIs1868,119,98,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_98.tif
ROIs1868,119,99,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_99.tif
ROIs1868,119,103,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_103.tif
ROIs1868,119,104,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_104.tif
ROIs1868,119,105,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_105.tif
ROIs1868,119,106,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_106.tif
ROIs1868,119,107,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_107.tif
ROIs1868,119,108,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_108.tif
ROIs1868,119,109,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_109.tif
ROIs1868,119,110,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_110.tif
ROIs1868,119,111,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_111.tif
ROIs1868,119,112,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_112.tif
ROIs1868,119,113,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_113.tif
ROIs1868,119,114,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_114.tif
ROIs1868,119,115,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_115.tif
ROIs1868,119,116,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_116.tif
ROIs1868,119,117,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_117.tif
ROIs1868,119,118,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_118.tif
ROIs1868,119,119,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_119.tif
ROIs1868,119,122,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_122.tif
ROIs1868,119,123,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_123.tif
ROIs1868,119,124,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_124.tif
ROIs1868,119,125,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_125.tif
ROIs1868,119,126,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_126.tif
ROIs1868,119,127,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_127.tif
ROIs1868,119,128,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_128.tif
ROIs1868,119,129,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_129.tif
ROIs1868,119,130,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_130.tif
ROIs1868,119,131,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_131.tif
ROIs1868,119,132,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_132.tif
ROIs1868,119,133,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_133.tif
ROIs1868,119,134,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_134.tif
ROIs1868,119,135,12,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/NanPixelsS1/ROIs1868/119/S1/12/s1_ROIs1868_119_ImgNo_12_2018-06-02_patch_135.tif
