ROI,tile,patch,timestep,S2,S2CLOUDMAP
ROIs1868,119,112,13,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/119/S2/13/s2_ROIs1868_119_ImgNo_13_2018-06-14_patch_112.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/119/S2CLOUDMAP/13/s2cloudmap_ROIs1868_119_ImgNo_13_2018-06-14_patch_112.tif
ROIs1868,119,120,26,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/119/S2/26/s2_ROIs1868_119_ImgNo_26_2018-11-16_patch_120.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/119/S2CLOUDMAP/26/s2cloudmap_ROIs1868_119_ImgNo_26_2018-11-16_patch_120.tif
ROIs1868,119,152,26,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/119/S2/26/s2_ROIs1868_119_ImgNo_26_2018-11-16_patch_152.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/119/S2CLOUDMAP/26/s2cloudmap_ROIs1868_119_ImgNo_26_2018-11-16_patch_152.tif
ROIs1868,119,152,29,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/119/S2/29/s2_ROIs1868_119_ImgNo_29_2018-12-21_patch_152.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/119/S2CLOUDMAP/29/s2cloudmap_ROIs1868_119_ImgNo_29_2018-12-21_patch_152.tif
ROIs1868,119,155,26,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/119/S2/26/s2_ROIs1868_119_ImgNo_26_2018-11-16_patch_155.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/119/S2CLOUDMAP/26/s2cloudmap_ROIs1868_119_ImgNo_26_2018-11-16_patch_155.tif
ROIs1868,119,157,26,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/119/S2/26/s2_ROIs1868_119_ImgNo_26_2018-11-16_patch_157.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/119/S2CLOUDMAP/26/s2cloudmap_ROIs1868_119_ImgNo_26_2018-11-16_patch_157.tif
ROIs1868,119,192,0,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/119/S2/0/s2_ROIs1868_119_ImgNo_0_2018-01-05_patch_192.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/119/S2CLOUDMAP/0/s2cloudmap_ROIs1868_119_ImgNo_0_2018-01-05_patch_192.tif
ROIs1868,119,231,29,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/119/S2/29/s2_ROIs1868_119_ImgNo_29_2018-12-21_patch_231.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/119/S2CLOUDMAP/29/s2cloudmap_ROIs1868_119_ImgNo_29_2018-12-21_patch_231.tif
ROIs1868,121,10,25,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/25/s2_ROIs1868_121_ImgNo_25_2018-11-02_patch_10.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/25/s2cloudmap_ROIs1868_121_ImgNo_25_2018-11-02_patch_10.tif
ROIs1868,121,11,4,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/4/s2_ROIs1868_121_ImgNo_4_2018-02-25_patch_11.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/4/s2cloudmap_ROIs1868_121_ImgNo_4_2018-02-25_patch_11.tif
ROIs1868,121,11,14,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/14/s2_ROIs1868_121_ImgNo_14_2018-06-25_patch_11.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/14/s2cloudmap_ROIs1868_121_ImgNo_14_2018-06-25_patch_11.tif
ROIs1868,121,11,21,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/21/s2_ROIs1868_121_ImgNo_21_2018-09-18_patch_11.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/21/s2cloudmap_ROIs1868_121_ImgNo_21_2018-09-18_patch_11.tif
ROIs1868,121,11,25,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/25/s2_ROIs1868_121_ImgNo_25_2018-11-02_patch_11.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/25/s2cloudmap_ROIs1868_121_ImgNo_25_2018-11-02_patch_11.tif
ROIs1868,121,11,26,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/26/s2_ROIs1868_121_ImgNo_26_2018-11-17_patch_11.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/26/s2cloudmap_ROIs1868_121_ImgNo_26_2018-11-17_patch_11.tif
ROIs1868,121,16,4,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/4/s2_ROIs1868_121_ImgNo_4_2018-02-25_patch_16.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/4/s2cloudmap_ROIs1868_121_ImgNo_4_2018-02-25_patch_16.tif
ROIs1868,121,16,26,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/26/s2_ROIs1868_121_ImgNo_26_2018-11-17_patch_16.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/26/s2cloudmap_ROIs1868_121_ImgNo_26_2018-11-17_patch_16.tif
ROIs1868,121,27,14,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/14/s2_ROIs1868_121_ImgNo_14_2018-06-25_patch_27.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/14/s2cloudmap_ROIs1868_121_ImgNo_14_2018-06-25_patch_27.tif
ROIs1868,121,30,26,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/26/s2_ROIs1868_121_ImgNo_26_2018-11-17_patch_30.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/26/s2cloudmap_ROIs1868_121_ImgNo_26_2018-11-17_patch_30.tif
ROIs1868,121,32,26,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/26/s2_ROIs1868_121_ImgNo_26_2018-11-17_patch_32.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/26/s2cloudmap_ROIs1868_121_ImgNo_26_2018-11-17_patch_32.tif
ROIs1868,121,32,29,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/29/s2_ROIs1868_121_ImgNo_29_2018-12-22_patch_32.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/29/s2cloudmap_ROIs1868_121_ImgNo_29_2018-12-22_patch_32.tif
ROIs1868,121,33,29,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/29/s2_ROIs1868_121_ImgNo_29_2018-12-22_patch_33.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/29/s2cloudmap_ROIs1868_121_ImgNo_29_2018-12-22_patch_33.tif
ROIs1868,121,41,4,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/4/s2_ROIs1868_121_ImgNo_4_2018-02-25_patch_41.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/4/s2cloudmap_ROIs1868_121_ImgNo_4_2018-02-25_patch_41.tif
ROIs1868,121,41,14,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/14/s2_ROIs1868_121_ImgNo_14_2018-06-25_patch_41.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/14/s2cloudmap_ROIs1868_121_ImgNo_14_2018-06-25_patch_41.tif
ROIs1868,121,42,3,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/3/s2_ROIs1868_121_ImgNo_3_2018-02-10_patch_42.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/3/s2cloudmap_ROIs1868_121_ImgNo_3_2018-02-10_patch_42.tif
ROIs1868,121,44,23,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/23/s2_ROIs1868_121_ImgNo_23_2018-10-08_patch_44.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/23/s2cloudmap_ROIs1868_121_ImgNo_23_2018-10-08_patch_44.tif
ROIs1868,121,45,26,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/26/s2_ROIs1868_121_ImgNo_26_2018-11-17_patch_45.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/26/s2cloudmap_ROIs1868_121_ImgNo_26_2018-11-17_patch_45.tif
ROIs1868,121,51,25,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/25/s2_ROIs1868_121_ImgNo_25_2018-11-02_patch_51.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/25/s2cloudmap_ROIs1868_121_ImgNo_25_2018-11-02_patch_51.tif
ROIs1868,121,53,26,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/26/s2_ROIs1868_121_ImgNo_26_2018-11-17_patch_53.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/26/s2cloudmap_ROIs1868_121_ImgNo_26_2018-11-17_patch_53.tif
ROIs1868,121,60,9,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/9/s2_ROIs1868_121_ImgNo_9_2018-04-26_patch_60.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/9/s2cloudmap_ROIs1868_121_ImgNo_9_2018-04-26_patch_60.tif
ROIs1868,121,60,21,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/21/s2_ROIs1868_121_ImgNo_21_2018-09-18_patch_60.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/21/s2cloudmap_ROIs1868_121_ImgNo_21_2018-09-18_patch_60.tif
ROIs1868,121,61,4,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/4/s2_ROIs1868_121_ImgNo_4_2018-02-25_patch_61.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/4/s2cloudmap_ROIs1868_121_ImgNo_4_2018-02-25_patch_61.tif
ROIs1868,121,61,26,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/26/s2_ROIs1868_121_ImgNo_26_2018-11-17_patch_61.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/26/s2cloudmap_ROIs1868_121_ImgNo_26_2018-11-17_patch_61.tif
ROIs1868,121,65,3,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/3/s2_ROIs1868_121_ImgNo_3_2018-02-10_patch_65.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/3/s2cloudmap_ROIs1868_121_ImgNo_3_2018-02-10_patch_65.tif
ROIs1868,121,67,3,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/3/s2_ROIs1868_121_ImgNo_3_2018-02-10_patch_67.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/3/s2cloudmap_ROIs1868_121_ImgNo_3_2018-02-10_patch_67.tif
ROIs1868,121,67,4,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/4/s2_ROIs1868_121_ImgNo_4_2018-02-25_patch_67.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/4/s2cloudmap_ROIs1868_121_ImgNo_4_2018-02-25_patch_67.tif
ROIs1868,121,68,15,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/15/s2_ROIs1868_121_ImgNo_15_2018-07-05_patch_68.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/15/s2cloudmap_ROIs1868_121_ImgNo_15_2018-07-05_patch_68.tif
ROIs1868,121,68,26,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/26/s2_ROIs1868_121_ImgNo_26_2018-11-17_patch_68.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/26/s2cloudmap_ROIs1868_121_ImgNo_26_2018-11-17_patch_68.tif
ROIs1868,121,75,10,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/10/s2_ROIs1868_121_ImgNo_10_2018-05-06_patch_75.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/10/s2cloudmap_ROIs1868_121_ImgNo_10_2018-05-06_patch_75.tif
ROIs1868,121,80,4,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/4/s2_ROIs1868_121_ImgNo_4_2018-02-25_patch_80.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/4/s2cloudmap_ROIs1868_121_ImgNo_4_2018-02-25_patch_80.tif
ROIs1868,121,81,4,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/4/s2_ROIs1868_121_ImgNo_4_2018-02-25_patch_81.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/4/s2cloudmap_ROIs1868_121_ImgNo_4_2018-02-25_patch_81.tif
ROIs1868,121,82,4,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/4/s2_ROIs1868_121_ImgNo_4_2018-02-25_patch_82.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/4/s2cloudmap_ROIs1868_121_ImgNo_4_2018-02-25_patch_82.tif
ROIs1868,121,83,4,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/4/s2_ROIs1868_121_ImgNo_4_2018-02-25_patch_83.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/4/s2cloudmap_ROIs1868_121_ImgNo_4_2018-02-25_patch_83.tif
ROIs1868,121,83,21,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/21/s2_ROIs1868_121_ImgNo_21_2018-09-18_patch_83.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/21/s2cloudmap_ROIs1868_121_ImgNo_21_2018-09-18_patch_83.tif
ROIs1868,121,84,26,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/26/s2_ROIs1868_121_ImgNo_26_2018-11-17_patch_84.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/26/s2cloudmap_ROIs1868_121_ImgNo_26_2018-11-17_patch_84.tif
ROIs1868,121,85,4,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/4/s2_ROIs1868_121_ImgNo_4_2018-02-25_patch_85.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/4/s2cloudmap_ROIs1868_121_ImgNo_4_2018-02-25_patch_85.tif
ROIs1868,121,85,21,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/21/s2_ROIs1868_121_ImgNo_21_2018-09-18_patch_85.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/21/s2cloudmap_ROIs1868_121_ImgNo_21_2018-09-18_patch_85.tif
ROIs1868,121,87,29,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/29/s2_ROIs1868_121_ImgNo_29_2018-12-22_patch_87.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/29/s2cloudmap_ROIs1868_121_ImgNo_29_2018-12-22_patch_87.tif
ROIs1868,121,90,4,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/4/s2_ROIs1868_121_ImgNo_4_2018-02-25_patch_90.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/4/s2cloudmap_ROIs1868_121_ImgNo_4_2018-02-25_patch_90.tif
ROIs1868,121,91,11,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/11/s2_ROIs1868_121_ImgNo_11_2018-05-21_patch_91.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/11/s2cloudmap_ROIs1868_121_ImgNo_11_2018-05-21_patch_91.tif
ROIs1868,121,91,19,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/19/s2_ROIs1868_121_ImgNo_19_2018-08-24_patch_91.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/19/s2cloudmap_ROIs1868_121_ImgNo_19_2018-08-24_patch_91.tif
ROIs1868,121,91,21,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/21/s2_ROIs1868_121_ImgNo_21_2018-09-18_patch_91.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/21/s2cloudmap_ROIs1868_121_ImgNo_21_2018-09-18_patch_91.tif
ROIs1868,121,92,26,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2/26/s2_ROIs1868_121_ImgNo_26_2018-11-17_patch_92.tif,/LOCAL2/shvl/datasets/cloud_removal/SEN12MSCRTS_MODS/ZeroPixelsS2/ROIs1868/121/S2CLOUDMAP/26/s2cloudmap_ROIs1868_121_ImgNo_26_2018-11-17_patch_92.tif
