ROI,tile,patch,timestep,0
ROIsAzuaga,42,19,6,True
ROIsAzuaga,42,19,8,True
ROIsAzuaga,42,19,9,True
ROIsAzuaga,42,19,10,True
ROIsAzuaga,42,19,12,True
ROIsAzuaga,42,19,13,True
ROIsAzuaga,42,19,14,True
ROIsAzuaga,42,19,15,True
ROIsAzuaga,42,19,16,True
ROIsAzuaga,42,19,17,True
ROIsAzuaga,42,19,18,True
ROIsAzuaga,42,19,20,True
ROIsAzuaga,42,19,21,True
ROIsAzuaga,42,19,22,True
ROIsAzuaga,42,19,25,True
ROIsAzuaga,42,19,26,True
ROIsAzuaga,42,20,6,True
ROIsAzuaga,42,20,8,True
ROIsAzuaga,42,20,9,True
ROIsAzuaga,42,20,10,True
ROIsAzuaga,42,20,12,True
ROIsAzuaga,42,20,13,True
ROIsAzuaga,42,20,14,True
ROIsAzuaga,42,20,15,True
ROIsAzuaga,42,20,16,True
ROIsAzuaga,42,20,17,True
ROIsAzuaga,42,20,18,True
ROIsAzuaga,42,20,20,True
ROIsAzuaga,42,20,21,True
ROIsAzuaga,42,20,22,True
ROIsAzuaga,42,20,25,True
ROIsAzuaga,42,20,26,True
ROIsAzuaga,42,21,6,True
ROIsAzuaga,42,21,9,True
ROIsAzuaga,42,21,10,True
ROIsAzuaga,42,21,12,True
ROIsAzuaga,42,21,13,True
ROIsAzuaga,42,21,14,True
ROIsAzuaga,42,21,15,True
ROIsAzuaga,42,21,16,True
ROIsAzuaga,42,21,17,True
ROIsAzuaga,42,21,18,True
ROIsAzuaga,42,21,20,True
ROIsAzuaga,42,21,21,True
ROIsAzuaga,42,21,22,True
ROIsAzuaga,42,21,25,True
ROIsAzuaga,42,21,26,True
ROIsAzuaga,42,21,27,True
ROIsAzuaga,42,22,6,True
ROIsAzuaga,42,22,8,True
ROIsAzuaga,42,22,9,True
ROIsAzuaga,42,22,10,True
ROIsAzuaga,42,22,12,True
ROIsAzuaga,42,22,13,True
ROIsAzuaga,42,22,14,True
ROIsAzuaga,42,22,15,True
ROIsAzuaga,42,22,16,True
ROIsAzuaga,42,22,17,True
ROIsAzuaga,42,22,18,True
ROIsAzuaga,42,22,20,True
ROIsAzuaga,42,22,21,True
ROIsAzuaga,42,22,22,True
ROIsAzuaga,42,22,23,True
ROIsAzuaga,42,22,25,True
ROIsAzuaga,42,22,26,True
ROIsAzuaga,42,22,27,True
ROIsAzuaga,42,23,6,True
ROIsAzuaga,42,23,8,True
ROIsAzuaga,42,23,9,True
ROIsAzuaga,42,23,10,True
ROIsAzuaga,42,23,12,True
ROIsAzuaga,42,23,13,True
ROIsAzuaga,42,23,14,True
ROIsAzuaga,42,23,15,True
ROIsAzuaga,42,23,16,True
ROIsAzuaga,42,23,17,True
ROIsAzuaga,42,23,18,True
ROIsAzuaga,42,23,20,True
ROIsAzuaga,42,23,21,True
ROIsAzuaga,42,23,22,True
ROIsAzuaga,42,23,23,True
ROIsAzuaga,42,23,25,True
ROIsAzuaga,42,23,26,True
ROIsAzuaga,42,23,27,True
ROIsAzuaga,42,24,6,True
ROIsAzuaga,42,24,9,True
ROIsAzuaga,42,24,10,True
ROIsAzuaga,42,24,11,True
ROIsAzuaga,42,24,12,True
ROIsAzuaga,42,24,14,True
ROIsAzuaga,42,24,15,True
ROIsAzuaga,42,24,16,True
ROIsAzuaga,42,24,17,True
ROIsAzuaga,42,24,18,True
ROIsAzuaga,42,24,20,True
ROIsAzuaga,42,24,21,True
ROIsAzuaga,42,24,22,True
ROIsAzuaga,42,24,23,True
ROIsAzuaga,42,24,24,True
ROIsAzuaga,42,24,25,True
ROIsAzuaga,42,24,26,True
ROIsAzuaga,42,25,6,True
ROIsAzuaga,42,25,9,True
ROIsAzuaga,42,25,10,True
ROIsAzuaga,42,25,12,True
ROIsAzuaga,42,25,13,True
ROIsAzuaga,42,25,14,True
ROIsAzuaga,42,25,15,True
ROIsAzuaga,42,25,16,True
ROIsAzuaga,42,25,17,True
ROIsAzuaga,42,25,18,True
ROIsAzuaga,42,25,20,True
ROIsAzuaga,42,25,21,True
ROIsAzuaga,42,25,22,True
ROIsAzuaga,42,25,23,True
ROIsAzuaga,42,25,24,True
ROIsAzuaga,42,25,25,True
ROIsAzuaga,42,25,26,True
ROIsAzuaga,42,25,29,True
ROIsAzuaga,42,26,6,True
ROIsAzuaga,42,26,8,True
ROIsAzuaga,42,26,9,True
ROIsAzuaga,42,26,10,True
ROIsAzuaga,42,26,12,True
ROIsAzuaga,42,26,13,True
ROIsAzuaga,42,26,14,True
ROIsAzuaga,42,26,16,True
ROIsAzuaga,42,26,17,True
ROIsAzuaga,42,26,18,True
ROIsAzuaga,42,26,20,True
ROIsAzuaga,42,26,22,True
ROIsAzuaga,42,26,24,True
ROIsAzuaga,42,26,25,True
ROIsAzuaga,42,26,26,True
ROIsAzuaga,42,26,27,True
ROIsAzuaga,42,27,6,True
ROIsAzuaga,42,27,8,True
ROIsAzuaga,42,27,9,True
ROIsAzuaga,42,27,10,True
ROIsAzuaga,42,27,12,True
ROIsAzuaga,42,27,13,True
ROIsAzuaga,42,27,14,True
ROIsAzuaga,42,27,16,True
ROIsAzuaga,42,27,17,True
ROIsAzuaga,42,27,18,True
ROIsAzuaga,42,27,20,True
ROIsAzuaga,42,27,21,True
ROIsAzuaga,42,27,22,True
ROIsAzuaga,42,27,24,True
ROIsAzuaga,42,27,25,True
ROIsAzuaga,42,27,26,True
ROIsAzuaga,42,27,27,True
ROIsAzuaga,42,28,6,True
ROIsAzuaga,42,28,8,True
ROIsAzuaga,42,28,9,True
ROIsAzuaga,42,28,10,True
ROIsAzuaga,42,28,12,True
ROIsAzuaga,42,28,14,True
ROIsAzuaga,42,28,16,True
ROIsAzuaga,42,28,17,True
ROIsAzuaga,42,28,18,True
ROIsAzuaga,42,28,20,True
ROIsAzuaga,42,28,22,True
ROIsAzuaga,42,28,25,True
ROIsAzuaga,42,28,26,True
ROIsAzuaga,42,29,6,True
ROIsAzuaga,42,29,8,True
ROIsAzuaga,42,29,9,True
ROIsAzuaga,42,29,10,True
ROIsAzuaga,42,29,12,True
ROIsAzuaga,42,29,13,True
ROIsAzuaga,42,29,14,True
ROIsAzuaga,42,29,15,True
ROIsAzuaga,42,29,16,True
ROIsAzuaga,42,29,17,True
ROIsAzuaga,42,29,18,True
ROIsAzuaga,42,29,20,True
ROIsAzuaga,42,29,21,True
ROIsAzuaga,42,29,22,True
ROIsAzuaga,42,29,25,True
ROIsAzuaga,42,29,26,True
ROIsAzuaga,42,30,6,True
ROIsAzuaga,42,30,8,True
ROIsAzuaga,42,30,9,True
ROIsAzuaga,42,30,10,True
ROIsAzuaga,42,30,12,True
ROIsAzuaga,42,30,13,True
ROIsAzuaga,42,30,14,True
ROIsAzuaga,42,30,16,True
ROIsAzuaga,42,30,17,True
ROIsAzuaga,42,30,18,True
ROIsAzuaga,42,30,20,True
ROIsAzuaga,42,30,21,True
ROIsAzuaga,42,30,22,True
ROIsAzuaga,42,30,25,True
ROIsAzuaga,42,30,26,True
ROIsAzuaga,42,31,6,True
ROIsAzuaga,42,31,8,True
ROIsAzuaga,42,31,9,True
ROIsAzuaga,42,31,10,True
ROIsAzuaga,42,31,12,True
ROIsAzuaga,42,31,13,True
ROIsAzuaga,42,31,14,True
ROIsAzuaga,42,31,16,True
ROIsAzuaga,42,31,17,True
ROIsAzuaga,42,31,18,True
ROIsAzuaga,42,31,20,True
ROIsAzuaga,42,31,21,True
ROIsAzuaga,42,31,22,True
ROIsAzuaga,42,31,25,True
ROIsAzuaga,42,31,26,True
ROIsAzuaga,42,32,6,True
ROIsAzuaga,42,32,7,True
ROIsAzuaga,42,32,8,True
ROIsAzuaga,42,32,9,True
ROIsAzuaga,42,32,10,True
ROIsAzuaga,42,32,12,True
ROIsAzuaga,42,32,13,True
ROIsAzuaga,42,32,14,True
ROIsAzuaga,42,32,16,True
ROIsAzuaga,42,32,17,True
ROIsAzuaga,42,32,18,True
ROIsAzuaga,42,32,20,True
ROIsAzuaga,42,32,21,True
ROIsAzuaga,42,32,22,True
ROIsAzuaga,42,32,25,True
ROIsAzuaga,42,32,26,True
ROIsAzuaga,42,33,6,True
ROIsAzuaga,42,33,7,True
ROIsAzuaga,42,33,8,True
ROIsAzuaga,42,33,9,True
ROIsAzuaga,42,33,10,True
ROIsAzuaga,42,33,12,True
ROIsAzuaga,42,33,13,True
ROIsAzuaga,42,33,14,True
ROIsAzuaga,42,33,16,True
ROIsAzuaga,42,33,17,True
ROIsAzuaga,42,33,18,True
ROIsAzuaga,42,33,20,True
ROIsAzuaga,42,33,21,True
ROIsAzuaga,42,33,22,True
ROIsAzuaga,42,33,25,True
ROIsAzuaga,42,33,26,True
ROIsAzuaga,42,34,6,True
ROIsAzuaga,42,34,8,True
ROIsAzuaga,42,34,9,True
ROIsAzuaga,42,34,10,True
ROIsAzuaga,42,34,11,True
ROIsAzuaga,42,34,12,True
ROIsAzuaga,42,34,13,True
ROIsAzuaga,42,34,14,True
ROIsAzuaga,42,34,15,True
ROIsAzuaga,42,34,16,True
ROIsAzuaga,42,34,17,True
ROIsAzuaga,42,34,18,True
ROIsAzuaga,42,34,20,True
ROIsAzuaga,42,34,21,True
ROIsAzuaga,42,34,22,True
ROIsAzuaga,42,34,26,True
ROIsAzuaga,42,34,29,True
ROIsAzuaga,42,35,8,True
ROIsAzuaga,42,35,9,True
ROIsAzuaga,42,35,10,True
ROIsAzuaga,42,35,12,True
ROIsAzuaga,42,35,13,True
ROIsAzuaga,42,35,14,True
ROIsAzuaga,42,35,15,True
ROIsAzuaga,42,35,16,True
ROIsAzuaga,42,35,17,True
ROIsAzuaga,42,35,18,True
ROIsAzuaga,42,35,20,True
ROIsAzuaga,42,35,21,True
ROIsAzuaga,42,35,22,True
ROIsAzuaga,42,35,25,True
ROIsAzuaga,42,35,26,True
ROIsAzuaga,42,35,29,True
ROIsAzuaga,42,36,8,True
ROIsAzuaga,42,36,9,True
ROIsAzuaga,42,36,10,True
ROIsAzuaga,42,36,12,True
ROIsAzuaga,42,36,13,True
ROIsAzuaga,42,36,14,True
ROIsAzuaga,42,36,15,True
ROIsAzuaga,42,36,16,True
ROIsAzuaga,42,36,17,True
ROIsAzuaga,42,36,18,True
ROIsAzuaga,42,36,20,True
ROIsAzuaga,42,36,21,True
ROIsAzuaga,42,36,22,True
ROIsAzuaga,42,36,23,True
ROIsAzuaga,42,36,25,True
ROIsAzuaga,42,36,26,True
ROIsAzuaga,42,36,27,True
ROIsAzuaga,42,37,6,True
ROIsAzuaga,42,37,9,True
ROIsAzuaga,42,37,10,True
ROIsAzuaga,42,37,12,True
ROIsAzuaga,42,37,13,True
ROIsAzuaga,42,37,14,True
ROIsAzuaga,42,37,15,True
ROIsAzuaga,42,37,16,True
ROIsAzuaga,42,37,17,True
ROIsAzuaga,42,37,18,True
ROIsAzuaga,42,37,20,True
ROIsAzuaga,42,37,21,True
ROIsAzuaga,42,37,22,True
ROIsAzuaga,42,37,24,True
ROIsAzuaga,42,37,25,True
ROIsAzuaga,42,37,26,True
ROIsAzuaga,42,38,6,True
ROIsAzuaga,42,38,9,True
ROIsAzuaga,42,38,10,True
ROIsAzuaga,42,38,12,True
ROIsAzuaga,42,38,14,True
ROIsAzuaga,42,38,15,True
ROIsAzuaga,42,38,16,True
ROIsAzuaga,42,38,17,True
ROIsAzuaga,42,38,18,True
ROIsAzuaga,42,38,20,True
ROIsAzuaga,42,38,21,True
ROIsAzuaga,42,38,22,True
ROIsAzuaga,42,38,23,True
ROIsAzuaga,42,38,25,True
ROIsAzuaga,42,38,26,True
ROIsAzuaga,42,38,27,True
ROIsAzuaga,42,39,6,True
ROIsAzuaga,42,39,9,True
ROIsAzuaga,42,39,10,True
ROIsAzuaga,42,39,12,True
ROIsAzuaga,42,39,13,True
ROIsAzuaga,42,39,14,True
ROIsAzuaga,42,39,15,True
ROIsAzuaga,42,39,16,True
ROIsAzuaga,42,39,17,True
ROIsAzuaga,42,39,18,True
ROIsAzuaga,42,39,20,True
ROIsAzuaga,42,39,21,True
ROIsAzuaga,42,39,22,True
ROIsAzuaga,42,39,23,True
ROIsAzuaga,42,39,25,True
ROIsAzuaga,42,39,26,True
ROIsAzuaga,42,40,6,True
ROIsAzuaga,42,40,8,True
ROIsAzuaga,42,40,9,True
ROIsAzuaga,42,40,10,True
ROIsAzuaga,42,40,12,True
ROIsAzuaga,42,40,13,True
ROIsAzuaga,42,40,14,True
ROIsAzuaga,42,40,15,True
ROIsAzuaga,42,40,16,True
ROIsAzuaga,42,40,17,True
ROIsAzuaga,42,40,18,True
ROIsAzuaga,42,40,20,True
ROIsAzuaga,42,40,21,True
ROIsAzuaga,42,40,22,True
ROIsAzuaga,42,40,23,True
ROIsAzuaga,42,40,25,True
ROIsAzuaga,42,40,26,True
ROIsAzuaga,42,40,27,True
ROIsAzuaga,42,40,29,True
ROIsAzuaga,42,41,6,True
ROIsAzuaga,42,41,8,True
ROIsAzuaga,42,41,9,True
ROIsAzuaga,42,41,10,True
ROIsAzuaga,42,41,12,True
ROIsAzuaga,42,41,13,True
ROIsAzuaga,42,41,14,True
ROIsAzuaga,42,41,15,True
ROIsAzuaga,42,41,16,True
ROIsAzuaga,42,41,17,True
ROIsAzuaga,42,41,18,True
ROIsAzuaga,42,41,20,True
ROIsAzuaga,42,41,21,True
ROIsAzuaga,42,41,22,True
ROIsAzuaga,42,41,25,True
ROIsAzuaga,42,41,26,True
ROIsAzuaga,42,41,27,True
ROIsAzuaga,42,41,29,True
ROIsAzuaga,42,42,6,True
ROIsAzuaga,42,42,9,True
ROIsAzuaga,42,42,10,True
ROIsAzuaga,42,42,12,True
ROIsAzuaga,42,42,13,True
ROIsAzuaga,42,42,14,True
ROIsAzuaga,42,42,16,True
ROIsAzuaga,42,42,17,True
ROIsAzuaga,42,42,18,True
ROIsAzuaga,42,42,20,True
ROIsAzuaga,42,42,21,True
ROIsAzuaga,42,42,22,True
ROIsAzuaga,42,42,25,True
ROIsAzuaga,42,42,26,True
ROIsAzuaga,42,42,27,True
ROIsAzuaga,42,43,6,True
ROIsAzuaga,42,43,8,True
ROIsAzuaga,42,43,9,True
ROIsAzuaga,42,43,10,True
ROIsAzuaga,42,43,12,True
ROIsAzuaga,42,43,13,True
ROIsAzuaga,42,43,14,True
ROIsAzuaga,42,43,16,True
ROIsAzuaga,42,43,17,True
ROIsAzuaga,42,43,18,True
ROIsAzuaga,42,43,20,True
ROIsAzuaga,42,43,21,True
ROIsAzuaga,42,43,22,True
ROIsAzuaga,42,43,24,True
ROIsAzuaga,42,43,25,True
ROIsAzuaga,42,43,26,True
ROIsAzuaga,42,44,6,True
ROIsAzuaga,42,44,7,True
ROIsAzuaga,42,44,8,True
ROIsAzuaga,42,44,9,True
ROIsAzuaga,42,44,10,True
ROIsAzuaga,42,44,12,True
ROIsAzuaga,42,44,13,True
ROIsAzuaga,42,44,14,True
ROIsAzuaga,42,44,16,True
ROIsAzuaga,42,44,17,True
ROIsAzuaga,42,44,18,True
ROIsAzuaga,42,44,20,True
ROIsAzuaga,42,44,21,True
ROIsAzuaga,42,44,22,True
ROIsAzuaga,42,44,23,True
ROIsAzuaga,42,44,24,True
ROIsAzuaga,42,44,25,True
ROIsAzuaga,42,44,26,True
ROIsAzuaga,42,45,6,True
ROIsAzuaga,42,45,7,True
ROIsAzuaga,42,45,8,True
ROIsAzuaga,42,45,9,True
ROIsAzuaga,42,45,10,True
ROIsAzuaga,42,45,12,True
ROIsAzuaga,42,45,13,True
ROIsAzuaga,42,45,14,True
ROIsAzuaga,42,45,16,True
ROIsAzuaga,42,45,17,True
ROIsAzuaga,42,45,18,True
ROIsAzuaga,42,45,20,True
ROIsAzuaga,42,45,21,True
ROIsAzuaga,42,45,22,True
ROIsAzuaga,42,45,24,True
ROIsAzuaga,42,45,25,True
ROIsAzuaga,42,45,26,True
ROIsAzuaga,42,45,27,True
ROIsAzuaga,42,46,6,True
ROIsAzuaga,42,46,7,True
ROIsAzuaga,42,46,8,True
ROIsAzuaga,42,46,9,True
ROIsAzuaga,42,46,10,True
ROIsAzuaga,42,46,12,True
ROIsAzuaga,42,46,13,True
ROIsAzuaga,42,46,14,True
ROIsAzuaga,42,46,16,True
ROIsAzuaga,42,46,17,True
ROIsAzuaga,42,46,18,True
ROIsAzuaga,42,46,20,True
ROIsAzuaga,42,46,21,True
ROIsAzuaga,42,46,22,True
ROIsAzuaga,42,46,25,True
ROIsAzuaga,42,46,26,True
ROIsAzuaga,42,46,27,True
ROIsAzuaga,42,47,6,True
ROIsAzuaga,42,47,7,True
ROIsAzuaga,42,47,8,True
ROIsAzuaga,42,47,9,True
ROIsAzuaga,42,47,10,True
ROIsAzuaga,42,47,12,True
